experiment,folder,choice_set,alternative,R,O,Y,G,B,P,UV,intensity,no_choice,max_count
1,F0T4T79T7F0T4F0F0F0F0T69F0T4T9T4F0,109,3_none,0,0,0,0,0,0,0,0,1,71
1,F0T54F0T3T22T2F0F0T5T44T6T5T15T1T1F0,80,1_left,0,0.6,0,0.04,0.33,0.03,0,0.8,0,5
1,F0T54F0T3T22T2F0F0T5T44T6T5T15T1T1F0,80,2_right,0.09,0.49,0.07,0.08,0.24,0.01,0.01,0.69,0,2
1,F0T54F0T3T22T2F0F0T5T44T6T5T15T1T1F0,80,3_none,0,0,0,0,0,0,0,0,1,73
1,F0T63F0T11F0F0T3F0T2T54T2T4T2T1T5F0,74,1_left,0,0.77,0,0.18,0,0,0.05,0.54,0,3
1,F0T63F0T11F0F0T3F0T2T54T2T4T2T1T5F0,74,2_right,0.05,0.72,0.02,0.07,0.04,0.02,0.09,0.31,0,5
1,F0T63F0T11F0F0T3F0T2T54T2T4T2T1T5F0,74,3_none,0,0,0,0,0,0,0,0,1,72
1,F0T7T45F0T7F0T5F0T3T1T42T5T3T5F0F0,89,1_left,0,0.1,0.66,0,0.14,0,0.1,0.04,0,4
1,F0T7T45F0T7F0T5F0T3T1T42T5T3T5F0F0,89,2_right,0.08,0.02,0.61,0.11,0.06,0.11,0,0.06,0,2
1,F0T7T45F0T7F0T5F0T3T1T42T5T3T5F0F0,89,3_none,0,0,0,0,0,0,0,0,1,74
1,F0T9T8T8T5T2T4F0T2F0T5T5T8T3T3F0,119,1_left,0,0.21,0.19,0.25,0.15,0.06,0.13,-0.7,0,3
1,F0T9T8T8T5T2T4F0T2F0T5T5T8T3T3F0,119,2_right,0.11,0,0.14,0.2,0.33,0.11,0.1,-1,0,3
1,F0T9T8T8T5T2T4F0T2F0T5T5T8T3T3F0,119,3_none,0,0,0,0,0,0,0,0,1,74
1,T0T2T29F0T2F0T8F0F0F0T36T1T7F0F0F0,90,1_left,0.01,0.05,0.64,0,0.07,0,0.23,-0.66,0,6
1,T0T2T29F0T2F0T8F0F0F0T36T1T7F0F0F0,90,2_right,0,0,0.77,0.04,0.2,0,0,-0.59,0,1
1,T0T2T29F0T2F0T8F0F0F0T36T1T7F0F0F0,90,3_none,0,0,0,0,0,0,0,0,1,73
